Date,Close
2017/12/17,19140.8
2017/12/18,19114.2
2017/12/19,17776.7
2017/12/20,16624.6
2017/12/21,15802.9
2017/12/22,13831.8
2017/12/23,14699.2
2017/12/24,13925.8
2017/12/25,14026.6
2017/12/26,16099.8
2017/12/27,15838.5
2017/12/28,14606.5
2017/12/29,14656.2
2017/12/30,12952.2
2017/12/31,14156.4
2018/01/01,13657.2
2018/01/02,14982.1
2018/01/03,15201
2018/01/04,15599.2
2018/01/05,17429.5
2018/01/06,17527
2018/01/07,16477.6
2018/01/08,15170.1
2018/01/09,14595.4
2018/01/10,14973.3
2018/01/11,13405.8
2018/01/12,13980.6
2018/01/13,14360.2
2018/01/14,13772
2018/01/15,13819.8
2018/01/16,11490.5
2018/01/17,11188.6
2018/01/18,11474.9
2018/01/19,11607.4
2018/01/20,12899.2
2018/01/21,11600.1
2018/01/22,10931.4
2018/01/23,10868.4
2018/01/24,11359.4
2018/01/25,11259.4
2018/01/26,11171.4
2018/01/27,11440.7
2018/01/28,11786.3
2018/01/29,11296.4
2018/01/30,10106.3
2018/01/31,10221.1
2018/02/01,9170.54
2018/02/02,8830.75
2018/02/03,9174.91
2018/02/04,8277.01
2018/02/05,6955.27
2018/02/06,7754
2018/02/07,7621.3
2018/02/08,8265.59
2018/02/09,8736.98
2018/02/10,8621.9
2018/02/11,8129.97
2018/02/12,8926.57
2018/02/13,8598.31
2018/02/14,9494.63
2018/02/15,10166.4
2018/02/16,10233.9
2018/02/17,11112.7
2018/02/18,10551.8
2018/02/19,11225.3
2018/02/20,11403.7
2018/02/21,10690.4
2018/02/22,10005
2018/02/23,10301.1
2018/02/24,9813.07
2018/02/25,9664.73
2018/02/26,10366.7
2018/02/27,10725.6
2018/02/28,10397.9
2018/03/01,10951
2018/03/02,11086.4
2018/03/03,11489.7
2018/03/04,11512.6
2018/03/05,11573.3
2018/03/06,10779.9
2018/03/07,9965.57
2018/03/08,9395.01
2018/03/09,9337.55
2018/03/10,8866
2018/03/11,9578.63
2018/03/12,9205.12
2018/03/13,9194.85
2018/03/14,8269.81
2018/03/15,8300.86
2018/03/16,8338.35
